Source;Target;Type;Weight
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;594029
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;594029
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;584120
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;584120
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;597332
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;597332
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;599534
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;599534
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;592928
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;592928
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;591827
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;591827
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;578615
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;578615
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;596231
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;596231
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;Directed;1617
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;Directed;587423
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;Directed;587423
bc1q7mmkqtgxzx0p8sqp3n77mn8ydpcc0ww0ndylcm;bc1qywzpakqu9zqkr63mfjelncyexja7hkzl43rglf;Directed;55144741
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;600
bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;Directed;546
