addr,value
1DYLyX3fDacqSC3Cykv1BzoFf3QEoTn61S,60000000
bc1qfqhufj70nqkfc9sd8d2z3w6gnsrfwcs0k7h2zt,100000
bc1q6z4e4f0jw7kq5rvr0txsttxqnnagwh2tq5fgg0,306660
1AQLXAB6aXSVbRMjbhSBudLf1kcsbWSEjg,59589704
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,5235
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,4714
,0
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,600
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,600
bc1pnh6k5y87nkqgrccp38mh889y2f926537n2ylwxqenqvh4acamp2scnrhcm,546
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,693818
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,1200
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,546
bc1pnh6k5y87nkqgrccp38mh889y2f926537n2ylwxqenqvh4acamp2scnrhcm,374000
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,600
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,600
bc1pq92mz32nkcxx3y9mg6p00le4g4xm7f2eeze0t8cavkcrsdshpuwswqcqlp,314698
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,4714
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,4193
,0
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,4193
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,3672
,0
bc1q42ccp5e6lmzvuwu67ujq7xqa4mgdz27ar95f44,243112
bc1q42ccp5e6lmzvuwu67ujq7xqa4mgdz27ar95f44,292996
bc1q99jss8q0ucd4d9p57jamfrnaz7uwpzdc5hahpw,534328
bc1qt6wv6tw8qldemk394mpfsfauzw7dgq8658haa7,88681081
3FgdL9kYJmNGcUbG8UFEFFogy1zxFLRoAE,165000
bc1qt6wv6tw8qldemk394mpfsfauzw7dgq8658haa7,8250
bc1qt6wv6tw8qldemk394mpfsfauzw7dgq8658haa7,88506631
bc1ql4hjt3newq69a9ty9ymzpjwuex4msuk9jd6z7d8570zkh995v6cs576m62,145745492
bc1ql4hjt3newq69a9ty9ymzpjwuex4msuk9jd6z7d8570zkh995v6cs576m62,131699330
16dEgP4yNnfnbY984816pLmH3Y5Ar5FMoJ,600000
3NeHfZstietoXhxYRYoJHorgaYsEJMirDn,12010000
3H32PTWb4uZJ8TyLLNCiJyrZdMuevMHgjp,1434161
bc1qxup930drpdurjkjzgtnvwmswnta8aydl5kguag,3273404582
3276shRiKtM8zW8PDvtbb4DowbHaWEuMYZ,1467600
bc1qxup930drpdurjkjzgtnvwmswnta8aydl5kguag,3271935789
bc1qf8dgvlcaksepqg4a0pyvtl0x6dxrsyvg8vrw8z,519136
bc1qcceknmtj78fvwpaq82juadcjztt9f9m33jcvha,158433
bc1qejesdqap2e5z5wu6taa3rmnz3elz7xqs6m4h4f,359434
bc1perydguplwa4ckhwknyss6alydwytxr3w3pzygxlq9t9gkln7q9cqy0hvwe,25965
bc1p983vdj2xpgefupfpc2k2sp9lrlhr9wdduysy6h75dttk4hhmvpgqr7qyr2,1114
bc1perydguplwa4ckhwknyss6alydwytxr3w3pzygxlq9t9gkln7q9cqy0hvwe,24235
bc1qe3rulann37pkt6ty9jyr9u58dswaers3h239cc,50152
bc1q78ngxeqnp36acmdcd7me8gjpxjeypf7xp0v6vd,43985
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,3672
bc1pzjzpyf4tezdzwqwteet6atc598fkerz6lqrx0985hyjcw4ku32hqrt26vr,3151
,0
bc1qn33zm5w0gxtygvlknlyrd6hlgm65pq736n0ja7,90002
bc1qn33zm5w0gxtygvlknlyrd6hlgm65pq736n0ja7,3193883
bc1qn33zm5w0gxtygvlknlyrd6hlgm65pq736n0ja7,7713
124CBwdqqmPwJDcHmByikebNNw4yF7XLby,3289108
bc1pu9mtfkwfzk874a8rs2yev9h5adg7vtw99yxpny5lanvyr6e2z44s5h7kwp,1770
bc1p32q9m59mjvecgr8ndgrugtdmd54h0xjkurj6cg0sl9ff32u2ksysw3damh,546
bc1q6cc55xmtt6dery0whxsey9vqkgrmjvypwmrufx,15102000
bc1qgwqrdfhnyrsjxu62r9n0h6sppy4h8wvx5fgsfk,9619780
bc1qzc97md9qj02w68cmnsv53aa0p7ys6f4ar5e8q6,20100000
bc1qjs6ejyrlz6q576uy2uhlhhp83vrvqqcqmktd5j,4620108
bc1qpgn6tszd4hp9t0ekrzsks775mxm9gkql4flr0m,11289
3KDtoshYaubJnaC2CwRP4qsZTqpvXF6sgF,10179
bc1q00h75gpk4ujj566ne0cpu8x5f3z5jwsftwkqzl,31029
bc1qsaxu3ch3rp2mew5z83sasq5qlnhd07uqtehenv,1135
bc1qt30dm5zthvysc72e8932ch5y7pvv23rf8xdszr,27074
bc1qhnlrefswj8e6jev85panyxzep89mxqprhzhs8z,678927
bc1qrp43r629mg74zjlndstcrel6738w9a03zcx2zq,180000
bc1qreu77e3xrsv70va6wskg8h8r4uxxxuhymlt4ss,497940
bc1p32q9m59mjvecgr8ndgrugtdmd54h0xjkurj6cg0sl9ff32u2ksysw3damh,69079
bc1pu9mtfkwfzk874a8rs2yev9h5adg7vtw99yxpny5lanvyr6e2z44s5h7kwp,1770
bc1p32q9m59mjvecgr8ndgrugtdmd54h0xjkurj6cg0sl9ff32u2ksysw3damh,66077
bc1qrtt4w9wrjksyyf6c30lmzqg2a6u3tjuda24q3m,96455
bc1q2777pp6hlkaz7k6hdj3rtxcy848ha2tu8fhrg6,1007682
3HgvLGq6Stam4XBYJkJiJKYauXJmMNvatd,97692
bc1q45r9mf7q99hv8zqg3q0e8lg46t4ch6qfs02h3s,1004706
bc1p983vdj2xpgefupfpc2k2sp9lrlhr9wdduysy6h75dttk4hhmvpgqr7qyr2,1114
bc1perydguplwa4ckhwknyss6alydwytxr3w3pzygxlq9t9gkln7q9cqy0hvwe,366
1HyjowRmXga2LTcFMNhq8FEmGSUPSR4Cr4,8399
,0
1HyjowRmXga2LTcFMNhq8FEmGSUPSR4Cr4,6691
33j5fuJc14aff3Z6vHZBxaHEKMdNmKbRxQ,555668000
3Qj6EYBML5eC4g6UYKpE83xwWiDiPNfifW,716042
