Id;Label;indegree;outdegree;degree;clustering;Clustering Coefficient;;;;;
bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r3;bc1plxs5u3ytefvtaq84exhsc6tzt0xdwym05x8lqv52jvdrp2dpd2js9ju7r4;1;4;5;0.25;0;;;;;
bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;bc1qh4gum32458w2c2cmc72a93fkxh8v8ltxzzprak;1;0;1;0;0;;;;;
bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;bc1puc0mkkz3hrva34jst53fkakmftf7yf4mnuhurt8ldtsv9cdur3cq76c7ka;0;1;1;0;0;;;;;
bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;bc1pqtmm9quvfhe7mt8wsq46tux9p4q6p7ceazr2maxrg6hedwyhmussj73dyu;1;0;1;0;0;;;;;
bc1q7mmkqtgxzx0p8sqp3n77mn8ydpcc0ww0ndylcm;bc1q7mmkqtgxzx0p8sqp3n77mn8ydpcc0ww0ndylcm;0;1;1;0;0;;;;;
bc1qywzpakqu9zqkr63mfjelncyexja7hkzl43rglf;bc1qywzpakqu9zqkr63mfjelncyexja7hkzl43rglf;1;0;1;0;0;;;;;
bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h5;bc1p06zahmn3lg7vewtyg555y0c33fmctwttyk0rw9vt7ppeyls58e6q0n09h6;2;2;4;1;0;;;;;
bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu2;bc1pl0wdznq3adr59f09t6x09gxpmlmy0mtkq49hr2zyyg5hac2e05ss0mztu3;2;2;4;1;0;;;;;
bc1qwr4fuullrh0sg04vjrxfdnn8gxyag0ja9m798p;bc1qwr4fuullrh0sg04vjrxfdnn8gxyag0ja9m798p;0;2;2;0;0;;;;;
3HmnyM4F76nixZgS5jcV4Y5ycCAH8biLUs;3HmnyM4F76nixZgS5jcV4Y5ycCAH8biLUs;1;0;1;0;0;;;;;
bc1qzkya4svzm8nlxzdrn4e9adgaz6md40t27xugp3;bc1qzkya4svzm8nlxzdrn4e9adgaz6md40t27xugp4;1;0;1;0;0;;;;;
bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;bc1qum6497jx62f0hgc5fzypjj8crheelffqwmes5mrsr6em3cr8vezqtggr6m;0;12;12;0;0;;;;;
bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar98;bc1qc7r955fadvyx80am8vue85rrc8t78lle52c9qau6ptfswdpjw8eqfqar99;0;12;12;0;0;;;;;
bc1pje9cuec0qhe85g9z40tzx9h6ylhtysne0t94e3wktuq3u3pxqs6qxt52nx;bc1pje9cuec0qhe85g9z40tzx9h6ylhtysne0t94e3wktuq3u3pxqs6qxt52nx;2;0;2;0;0;;;;;
bc1qz8kqlgr8y72472hc7va5g8wp0yc5yttm32glge;bc1qz8kqlgr8y72472hc7va5g8wp0yc5yttm32glge;2;0;2;0;0;;;;;
3LaKYQ1wLJ5GYYc8k1wAv39vgAiuJkneiX;3LaKYQ1wLJ5GYYc8k1wAv39vgAiuJkneiX;2;0;2;0;0;;;;;
bc1qrs05q3xmruvs4d08djdxpht3k5fl0kucrj6zm5;bc1qrs05q3xmruvs4d08djdxpht3k5fl0kucrj6zm6;2;0;2;0;0;;;;;
bc1qtua2af9etqn696xq4rvjwrmr6ysvnekrxysrd6;bc1qtua2af9etqn696xq4rvjwrmr6ysvnekrxysrd7;2;0;2;0;0;;;;;
bc1qvfyqelye6unzadzylu89rfqacq9z2am8zvk32y;bc1qvfyqelye6unzadzylu89rfqacq9z2am8zvk32y;2;0;2;0;0;;;;;
bc1qpk79jtwla45gzghxc0vc4vkrdz8cmq34xs4jrl;bc1qpk79jtwla45gzghxc0vc4vkrdz8cmq34xs4jrl;2;0;2;0;0;;;;;
bc1qgp040jy5m8lzskech520ap7nhnp6u789dn8v7r;bc1qgp040jy5m8lzskech520ap7nhnp6u789dn8v7r;2;0;2;0;0;;;;;
bc1qh2ylg9uh5my80ajg2judlyzt5y79x4j7ghtnq5;bc1qh2ylg9uh5my80ajg2judlyzt5y79x4j7ghtnq6;2;0;2;0;0;;;;;
bc1q34k64dlvpxegvpsthh02wt7pu8cgd0lqjchtlv;bc1q34k64dlvpxegvpsthh02wt7pu8cgd0lqjchtlv;2;0;2;0;0;;;;;
bc1qhxsg3d96tgs9vm6wx9d82yljmtpdervq26xwz8;bc1qhxsg3d96tgs9vm6wx9d82yljmtpdervq26xwz9;2;0;2;0;0;;;;;
bc1qe9q9vyxayn7jaagej2h8xyrgrq5yn044g2m3w8kzyrh0ph0ac70su9smt9;bc1qe9q9vyxayn7jaagej2h8xyrgrq5yn044g2m3w8kzyrh0ph0ac70su9smt10;2;0;2;0;0;;;;;
bc1qyjgf92z6t6z5trugfpdx57wv4k58twqmk6mk2p;bc1qyjgf92z6t6z5trugfpdx57wv4k58twqmk6mk2p;0;1;1;0;0;;;;;
bc1q054055ntwvd87r8x4peer6swzjapev306fjpl5;bc1q054055ntwvd87r8x4peer6swzjapev306fjpl6;1;0;1;0;0;;;;;
bc1q2t0ad9cqars69ge9v7v7td7rpg3p7etgqfe0zn;bc1q2t0ad9cqars69ge9v7v7td7rpg3p7etgqfe0zn;2;0;2;0;0;;;;;
bc1p62ezv8hrx47mxa56q75dqmktuf2nwpqu5uxkf63xuwugj74a6s2sk0ek5n;bc1p62ezv8hrx47mxa56q75dqmktuf2nwpqu5uxkf63xuwugj74a6s2sk0ek5n;1;0;1;0;0;;;;;
bc1pdmkq6fm4u5hekaqvma2hmmnh3zkuj7l523702xeftvcy2rgajdmsehnpe9;bc1pdmkq6fm4u5hekaqvma2hmmnh3zkuj7l523702xeftvcy2rgajdmsehnpe10;0;2;2;0.5;1;;;;;
3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;3R1jQUq6ADVpacoHzrCNgQVd7AqMtLmEDg;2;2;4;0.5;1;;;;;
bc1pljemugj0x02zx0hj4mu59zt539f8ff8s738t5369q3sp7rg6wxhq9pugpw;bc1pljemugj0x02zx0hj4mu59zt539f8ff8s738t5369q3sp7rg6wxhq9pugpw;2;0;2;0.5;1;;;;;
19tTn9y5j6vshnXTUXpfC5xd7mrY4AuFFp;19tTn9y5j6vshnXTUXpfC5xd7mrY4AuFFp;0;2;2;0;0;;;;;
bc1qldh6uq73gjzrjywzl4navjtvu5yu4pl9jj4rfr;bc1qldh6uq73gjzrjywzl4navjtvu5yu4pl9jj4rfr;1;0;1;0;0;;;;;
1AQLXAB6aXSVbRMjbhSBudLf1kcsbWSEjg;1AQLXAB6aXSVbRMjbhSBudLf1kcsbWSEjg;1;0;1;0;0;;;;;
bc1p72szc5rawcg5a7gndpmxegxwgwfr3ccuj6fsq5eh088urp454d2syjx7ea;bc1p72szc5rawcg5a7gndpmxegxwgwfr3ccuj6fsq5eh088urp454d2syjx7ea;1;2;3;0.5;0;;;;;
bc1qjjtvy706xl24wt2l2httzt6vhknk2qprr6gqxx;bc1qjjtvy706xl24wt2l2httzt6vhknk2qprr6gqxx;1;0;1;0;0;;;;;
bc1pv2n83s3l4tt4k7apfvv57vtlf0df20qnvhgvqytz74rs02a27z6sv7a59j;bc1pv2n83s3l4tt4k7apfvv57vtlf0df20qnvhgvqytz74rs02a27z6sv7a59j;1;2;3;0.5;0;;;;;
bc1p95kmunznuh823utarhkas08wh9zsqw5ceshz3qtqrprfyn5znrkst744zy;bc1p95kmunznuh823utarhkas08wh9zsqw5ceshz3qtqrprfyn5znrkst744zy;1;0;1;0;0;;;;;
0;1;0;0;0;0;0;;;;;
bc1q2399cffnyjle2ct4l4849ussajlf2kyyk67jsu;bc1q2399cffnyjle2ct4l4849ussajlf2kyyk67jsu;1;3;4;0.333333;0;;;;;
35xVuLWcSFHhvTwsWUoGqe4RYkXzYp64o7;35xVuLWcSFHhvTwsWUoGqe4RYkXzYp64o8;1;0;1;0;0;;;;;
1J7N1wMNHeUr4Sm75mK98Qd5YsgzqUcGor;1J7N1wMNHeUr4Sm75mK98Qd5YsgzqUcGor;1;2;3;0.5;0;;;;;
bc1qktv0t50tqdqcy7yqp6ltahvxzhzdvgzgl2ztuu;bc1qktv0t50tqdqcy7yqp6ltahvxzhzdvgzgl2ztuu;1;0;1;0;0;;;;;
bc1q2hxtv7j4ehe8aznhnnzy56kzghgnwe6fmxr6xq;bc1q2hxtv7j4ehe8aznhnnzy56kzghgnwe6fmxr6xq;0;1;1;0;0;;;;;
bc1qtjs6d4akpr4j54yxuhcwnpflkffna5ha2a6t6v;bc1qtjs6d4akpr4j54yxuhcwnpflkffna5ha2a6t6v;1;0;1;0;0;;;;;
bc1qmht9yh4j0z43ak82s7tqefqezp9fjzr786vtn7;bc1qmht9yh4j0z43ak82s7tqefqezp9fjzr786vtn8;0;1;1;0;0;;;;;
bc1qu827t6fc8phs9rxfgagy0ax3ww9dnv0fulvhyh;bc1qu827t6fc8phs9rxfgagy0ax3ww9dnv0fulvhyh;1;0;1;0;0;;;;;
bc1p5xjgp3m00m2zj0qz7lfr28lnpvqnj8fnzt82k3s4yy5f7eupnq8smgfpy8;bc1p5xjgp3m00m2zj0qz7lfr28lnpvqnj8fnzt82k3s4yy5f7eupnq8smgfpy9;1;2;3;0.5;0;;;;;
bc1p3kzcwtx3jh8pnvdrgtw49t5f7uzutcfy2seaftd4wl3zakyavzms4mq9rn;bc1p3kzcwtx3jh8pnvdrgtw49t5f7uzutcfy2seaftd4wl3zakyavzms4mq9rn;1;0;1;0;0;;;;;
bc1qgtetdgnkjtv5spr2afd9hcum4nfjlyx53j8z9u;bc1qgtetdgnkjtv5spr2afd9hcum4nfjlyx53j8z9u;0;1;1;0;0;;;;;
bc1qjw3hutpqwrddvprmz2rf9vx7wemmq8y32l79fm;bc1qjw3hutpqwrddvprmz2rf9vx7wemmq8y32l79fm;0;1;1;0;0;;;;;
bc1quqj96e5jnxr9stf37zmxmfc5en594xyzv6afus;bc1quqj96e5jnxr9stf37zmxmfc5en594xyzv6afus;2;0;2;0;0;;;;;
bc1qvgax4r3y0yhzyeyqne6umpqxh9y8afnzd4tfc2dtnehgqrvthcnqgeu7as;bc1qvgax4r3y0yhzyeyqne6umpqxh9y8afnzd4tfc2dtnehgqrvthcnqgeu7as;1;4;5;0.25;0;;;;;
bc1q5u2dty2hajvyt9e72m70pfujrz2fwfvxazl6k7;bc1q5u2dty2hajvyt9e72m70pfujrz2fwfvxazl6k8;1;0;1;0;0;;;;;
32L5SbomrBmiLnuTMSVQvEQB2FJCTqkQoy;32L5SbomrBmiLnuTMSVQvEQB2FJCTqkQoy;1;0;1;0;0;;;;;
bc1qdv4u8z4vtwxrc3fnx6wv7usvxsprfmuf7uewgh;bc1qdv4u8z4vtwxrc3fnx6wv7usvxsprfmuf7uewgh;1;0;1;0;0;;;;;
3KD5Fcuho1ZeVmK7FXvkXPJp41nwFt7V4K;3KD5Fcuho1ZeVmK7FXvkXPJp41nwFt7V4K;0;2;2;0;0;;;;;
14KFsyHQqS2TaFtimHKwfx9cambB9Gt5wR;14KFsyHQqS2TaFtimHKwfx9cambB9Gt5wR;1;0;1;0;0;;;;;
3Gv7pFLosC2s1y8uCa3z6ox5RXvZfK5FVj;3Gv7pFLosC2s1y8uCa3z6ox5RXvZfK5FVj;1;0;1;0;0;;;;;
13qgrDCTCY8VFHPAN9hCdPMvhMYNHWfqkP;13qgrDCTCY8VFHPAN9hCdPMvhMYNHWfqkP;1;3;4;0.333333;0;;;;;
bc1qck78y9cp0v6y4w9p76ct8qg5cgc4mhucs2psy0;bc1qck78y9cp0v6y4w9p76ct8qg5cgc4mhucs2psy1;1;0;1;0;0;;;;;
bc1pzsxjhr7ck8tpc8mcwzuqvm70lvnxtu9vlh80w4pj0c3m5n8w56aqpatj7h;bc1pzsxjhr7ck8tpc8mcwzuqvm70lvnxtu9vlh80w4pj0c3m5n8w56aqpatj7h;1;1;2;0;0;;;;;
bc1p3wk57fk6qw4zd6e5ch7fwmhzap86a3mv68lh7up6z30ru7sfy6mqn85nqh;bc1p3wk57fk6qw4zd6e5ch7fwmhzap86a3mv68lh7up6z30ru7sfy6mqn85nqh;2;2;4;1;0;;;;;
bc1pl8h38z2l5vjk9dmmtynajnzazfjrgyqz759rz2cwwy6j4v0jsh4q24hajh;bc1pl8h38z2l5vjk9dmmtynajnzazfjrgyqz759rz2cwwy6j4v0jsh4q24hajh;1;2;3;0.5;0;;;;;
bc1p5flx4nnm2svj5kygmtjasfsds0zxj2y4f6sfzns82c7x62d8letst83jyk;bc1p5flx4nnm2svj5kygmtjasfsds0zxj2y4f6sfzns82c7x62d8letst83jyk;1;0;1;0;0;;;;;
bc1qtx3nmfxn72vpayw2htnvx0txy45p0lx53rxxdu;bc1qtx3nmfxn72vpayw2htnvx0txy45p0lx53rxxdu;0;2;2;0;0;;;;;
bc1qu9fa3rew9xe6c7sccywma78n8rstg2gn5zv4rh;bc1qu9fa3rew9xe6c7sccywma78n8rstg2gn5zv4rh;0;2;2;0;0;;;;;
bc1qwrc86x6atf6866pkurejaxclqfg42mpzf3veky;bc1qwrc86x6atf6866pkurejaxclqfg42mpzf3veky;2;0;2;0;0;;;;;
bc1qkgn77mq9syjhs6758swv2s8n5j4zc7kuv40u5q;bc1qkgn77mq9syjhs6758swv2s8n5j4zc7kuv40u5q;2;0;2;0;0;;;;;
bc1qff2hj4twzy9y4jstvldqkrzypl25fnlajgv4v2;bc1qff2hj4twzy9y4jstvldqkrzypl25fnlajgv4v3;1;2;3;0.5;0;;;;;
128EP4SqfCUwXnHcFSQGzbeJfLEF9T8qLm;128EP4SqfCUwXnHcFSQGzbeJfLEF9T8qLm;1;0;1;0;0;;;;;
bc1qa95pytlw3cxznq3nw04qwgjk707pnn84wcemuw;bc1qa95pytlw3cxznq3nw04qwgjk707pnn84wcemuw;0;1;1;0;0;;;;;
bc1qd5yjcv9c4nml2543asgaadxyyq8sj5lgckvpr2;bc1qd5yjcv9c4nml2543asgaadxyyq8sj5lgckvpr3;1;0;1;0;0;;;;;
