Source,Target,Type,Id,Label,Weight
118,201,Directed,12078,,0.1804
118,258,Directed,12079,,0.1474
118,182,Directed,12080,,0.0332
118,152,Directed,12081,,0.0416
118,162,Directed,12082,,0.0676
47,118,Directed,12083,,0.1828
118,144,Directed,12084,,0.1231
118,263,Directed,12085,,0.1733
118,301,Directed,12086,,0.1366
118,221,Directed,12087,,0.0745
118,321,Directed,12088,,0.251
118,203,Directed,12089,,0.1788
65,118,Directed,12090,,0.18
118,306,Directed,12091,,0.1514
118,297,Directed,12092,,0.1305
118,253,Directed,12093,,0.172
118,183,Directed,12094,,0.1744
118,307,Directed,12095,,0.1508
118,169,Directed,12096,,0.164
118,216,Directed,12097,,0.0686
118,212,Directed,12098,,0.0769
118,274,Directed,12099,,0.1504
92,118,Directed,12100,,0.0611
68,118,Directed,12101,,0.1008
91,118,Directed,12102,,0.0532
118,125,Directed,12103,,0.0839
118,189,Directed,12104,,0.0379
118,305,Directed,12105,,0.1419
118,202,Directed,12106,,0.0688
118,222,Directed,12107,,0.0622
80,118,Directed,12108,,0.091
118,273,Directed,12109,,0.1001
118,250,Directed,12110,,0.1652
118,126,Directed,12111,,0.0085
118,204,Directed,12112,,0.06
118,127,Directed,12113,,0.0212
118,186,Directed,12114,,0.0471
118,148,Directed,12115,,0.0155
118,129,Directed,12116,,0.0704
76,118,Directed,12117,,0.0797
78,118,Directed,12118,,0.0298
118,163,Directed,12119,,0.0223
70,118,Directed,12120,,0.0289
114,118,Directed,12121,,0.0065
77,118,Directed,12122,,0.0195
118,261,Directed,12123,,0.0985
248,261,Directed,12124,,0.1093
201,261,Directed,12125,,0.1367
150,261,Directed,12126,,0.1396
261,311,Directed,12127,,0.109
146,261,Directed,12128,,0.14
147,261,Directed,12129,,0.1383
258,261,Directed,12130,,0.0765
112,261,Directed,12131,,0.1131
261,313,Directed,12132,,0.3292
182,261,Directed,12133,,0.0655
67,261,Directed,12134,,0.1162
219,261,Directed,12135,,0.0972
261,299,Directed,12136,,0.0907
152,261,Directed,12137,,0.1122
261,293,Directed,12138,,0.0291
162,261,Directed,12139,,0.1295
47,261,Directed,12140,,0.1894
144,261,Directed,12141,,0.1071
261,263,Directed,12142,,0.1026
261,301,Directed,12143,,0.0876
177,261,Directed,12144,,0.1152
221,261,Directed,12145,,0.0972
261,310,Directed,12146,,0.1079
232,261,Directed,12147,,0.0414
261,321,Directed,12148,,0.2098
261,296,Directed,12149,,0.0323
123,261,Directed,12150,,0.0973
172,261,Directed,12151,,0.0623
261,292,Directed,12152,,0.0442
203,261,Directed,12153,,0.1338
65,261,Directed,12154,,0.1779
167,261,Directed,12155,,0.0851
261,306,Directed,12156,,0.1047
197,261,Directed,12157,,0.1363
261,297,Directed,12158,,0.0329
246,261,Directed,12159,,0.1053
253,261,Directed,12160,,0.1064
94,261,Directed,12161,,0.1068
183,261,Directed,12162,,0.1369
261,307,Directed,12163,,0.0987
261,276,Directed,12164,,0.0487
225,261,Directed,12165,,0.0241
169,261,Directed,12166,,0.1319
216,261,Directed,12167,,0.0321
261,284,Directed,12168,,0.0815
212,261,Directed,12169,,0.1128
261,274,Directed,12170,,0.0712
189,261,Directed,12171,,0.0765
133,261,Directed,12172,,0.0806
239,261,Directed,12173,,0.0302
202,261,Directed,12174,,0.1097
218,261,Directed,12175,,0.0923
128,261,Directed,12176,,0.0844
251,261,Directed,12177,,0.1079
254,261,Directed,12178,,0.0255
261,275,Directed,12179,,0.0278
198,261,Directed,12180,,0.0455
222,261,Directed,12181,,0.072
261,308,Directed,12182,,0.0638
261,273,Directed,12183,,0.0809
240,261,Directed,12184,,0.0549
213,261,Directed,12185,,0.1213
250,261,Directed,12186,,0.0996
261,286,Directed,12187,,0.0553
261,271,Directed,12188,,0.0358
261,281,Directed,12189,,0.0495
261,267,Directed,12190,,0.0169
242,261,Directed,12191,,0.117
261,309,Directed,12192,,0.0645
206,261,Directed,12193,,0.0456
81,261,Directed,12194,,0.1239
220,261,Directed,12195,,0.0331
261,290,Directed,12196,,0.0363
261,266,Directed,12197,,0.0257
226,261,Directed,12198,,0.0271
261,270,Directed,12199,,0.0097
142,261,Directed,12200,,0.1219
241,261,Directed,12201,,0.0175
261,278,Directed,12202,,0.028
261,279,Directed,12203,,0.0229
261,291,Directed,12204,,0.0328
247,261,Directed,12205,,0.0128
261,304,Directed,12206,,0.0526
184,261,Directed,12207,,0.0738
261,280,Directed,12208,,0.0176
153,261,Directed,12209,,0.0892
257,261,Directed,12210,,0.0164
261,269,Directed,12211,,0.0127
168,261,Directed,12212,,0.0818
118,255,Directed,12213,,0.0815
255,261,Directed,12214,,0.0646
248,255,Directed,12215,,0.173
201,255,Directed,12216,,0.1969
150,255,Directed,12217,,0.086
166,255,Directed,12218,,0.1195
255,311,Directed,12219,,0.0779
146,255,Directed,12220,,0.0868
109,255,Directed,12221,,0.1078
147,255,Directed,12222,,0.0852
255,258,Directed,12223,,0.1405
112,255,Directed,12224,,0.0821
255,313,Directed,12225,,0.3924
182,255,Directed,12226,,0.0574
67,255,Directed,12227,,0.1163
219,255,Directed,12228,,0.1582
255,299,Directed,12229,,0.0523
152,255,Directed,12230,,0.0688
255,293,Directed,12231,,0.0657
162,255,Directed,12232,,0.0757
47,255,Directed,12233,,0.2336
230,255,Directed,12234,,0.0232
179,255,Directed,12235,,0.0624
144,255,Directed,12236,,0.156
255,263,Directed,12237,,0.167
255,301,Directed,12238,,0.0551
174,255,Directed,12239,,0.0659
177,255,Directed,12240,,0.0618
221,255,Directed,12241,,0.0357
176,255,Directed,12242,,0.0516
255,310,Directed,12243,,0.0756
232,255,Directed,12244,,0.0313
131,255,Directed,12245,,0.0753
255,321,Directed,12246,,0.1729
255,296,Directed,12247,,0.0672
123,255,Directed,12248,,0.0796
217,255,Directed,12249,,0.0263
172,255,Directed,12250,,0.0752
255,292,Directed,12251,,0.0458
65,255,Directed,12252,,0.2254
167,255,Directed,12253,,0.0588
255,306,Directed,12254,,0.0701
255,297,Directed,12255,,0.0816
246,255,Directed,12256,,0.1689
119,255,Directed,12257,,0.0992
253,255,Directed,12258,,0.1703
94,255,Directed,12259,,0.0906
255,288,Directed,12260,,0.0748
161,255,Directed,12261,,0.0598
159,255,Directed,12262,,0.0612
255,307,Directed,12263,,0.0692
95,255,Directed,12264,,0.0934
255,276,Directed,12265,,0.1132
225,255,Directed,12266,,0.0691
216,255,Directed,12267,,0.0633
255,284,Directed,12268,,0.0332
212,255,Directed,12269,,0.0521
92,255,Directed,12270,,0.0998
91,255,Directed,12271,,0.0968
125,255,Directed,12272,,0.1017
255,256,Directed,12273,,0.0118
189,255,Directed,12274,,0.0438
133,255,Directed,12275,,0.0936
255,305,Directed,12276,,0.0605
239,255,Directed,12277,,0.041
202,255,Directed,12278,,0.0517
218,255,Directed,12279,,0.0327
255,260,Directed,12280,,0.0234
157,255,Directed,12281,,0.0738
237,255,Directed,12282,,0.0165
222,255,Directed,12283,,0.0208
255,322,Directed,12284,,0.1767
249,255,Directed,12285,,0.0171
255,273,Directed,12286,,0.0219
255,298,Directed,12287,,0.046
240,255,Directed,12288,,0.0152
255,287,Directed,12289,,0.031
255,283,Directed,12290,,0.0453
255,286,Directed,12291,,0.0334
255,271,Directed,12292,,0.0315
192,255,Directed,12293,,0.042
255,281,Directed,12294,,0.0342
255,300,Directed,12295,,0.0564
137,255,Directed,12296,,0.0702
255,267,Directed,12297,,0.0493
127,255,Directed,12298,,0.076
234,255,Directed,12299,,0.0139
223,255,Directed,12300,,0.0196
132,255,Directed,12301,,0.0858
255,295,Directed,12302,,0.0394
215,255,Directed,12303,,0.0289
255,272,Directed,12304,,0.0163
129,255,Directed,12305,,0.0917
255,265,Directed,12306,,0.0111
255,266,Directed,12307,,0.0403
255,289,Directed,12308,,0.0334
184,255,Directed,12309,,0.1237
118,248,Directed,12310,,0.1733
201,248,Directed,12311,,0.0406
248,311,Directed,12312,,0.2091
248,258,Directed,12313,,0.0329
182,248,Directed,12314,,0.15
67,248,Directed,12315,,0.1655
248,299,Directed,12316,,0.1961
152,248,Directed,12317,,0.2042
162,248,Directed,12318,,0.227
47,248,Directed,12319,,0.1305
144,248,Directed,12320,,0.0731
248,263,Directed,12321,,0.0131
248,301,Directed,12322,,0.1914
232,248,Directed,12323,,0.1451
172,248,Directed,12324,,0.131
248,292,Directed,12325,,0.1482
203,248,Directed,12326,,0.0373
65,248,Directed,12327,,0.1133
197,248,Directed,12328,,0.041
248,253,Directed,12329,,0.0037
248,316,Directed,12330,,0.2303
94,248,Directed,12331,,0.1776
183,248,Directed,12332,,0.0483
245,248,Directed,12333,,0.0025
169,248,Directed,12334,,0.0536
248,274,Directed,12335,,0.0418
248,250,Directed,12336,,0.0097
242,248,Directed,12337,,0.0087
214,248,Directed,12338,,0.0308
248,331,Directed,12339,,0.5326
244,248,Directed,12340,,0.0048
168,248,Directed,12341,,0.08
182,201,Directed,12342,,0.1634
144,201,Directed,12343,,0.0609
201,203,Directed,12344,,0.0033
197,201,Directed,12345,,0.0011
201,253,Directed,12346,,0.0441
183,201,Directed,12347,,0.011
178,201,Directed,12348,,0.0171
185,201,Directed,12349,,0.0088
201,236,Directed,12350,,0.0278
118,150,Directed,12351,,0.073
150,248,Directed,12352,,0.236
150,201,Directed,12353,,0.2491
150,311,Directed,12354,,0.1456
146,150,Directed,12355,,0.0014
